id,author,title
o4985-w0220,"Edward Jerningham","AN ELEGY WRITTEN AMONG THE RUINS OF AN ABBEY."
o4672-w0090,"Isaac Watts","DEATH A Welcome Messenger."
oau90-w0180,"Thomas D'Urfey","A Dialogue between a Town Spark and his Miss."
o4986-w0080,"Samuel Henley","LOVE ELEGY."
ppo24-w0030,"John Pomfret","The Fortunate Complaint."
o4741-w0220,"Stephen Duck","CHLOE's CONQUEST."
bmb97-w0050,"(Mary) Matilda Betham","THE OUTLAW"
o5089-w0700,"Edward Moore","THE POET AND HIS PATRON."
o5089-w0350,"John Gilbert Cooper",WINIFREDA.
pba35-w0350,"Mary Barber","On the Dutchess of Newcastle's Picture."
o3795-w0020,"William Cowper","[THE TASK, A POEM, IN SIX BOOKS.] BOOK II."
o5280-w0140,"George Monck Berkeley","VERSES ON THE DUTCHESS OF RUTLAND'S PREFERRING MR. PETERS. TO GEORGE ATKINSON, M.D."
pba35-w0700,"Mary Barber","A Letter written from London to Mrs. Strangeways Horner, whom the Author had left the Day before at Tunbridge-Wells. Oct. 1730."
bed98-w0530,"Eliza Day",SONNET.
o4103-w0080,"Christopher Smart","The PRETTY CHAMBERMAID: In Imitation of Ne sit Ancillae tibi amor pudori, &c. of Horace. ODE VI."
oar96-w0120,"Elizabeth Rowe (née Singer)","The ATHENIANS"
bed98-w0160,"Eliza Day",LEGEND.
o5125-w0200,"Mary Leapor","A PRAYER for the YEAR, 1745."
o5155-w0080,"James Hammond","ELEGY To Miss D—W—D. In the Manner of OVID."
cbu86-w0180,"Robert Burns","MAN WAS MADE TO MOURN, A DIRGE."
o3588-w0010,"Charles Churchill","GOTHAM. BOOK III."
o5125-w0650,"Mary Leapor","An EPITAPH."
pjo50-w0300,"Mary Jones","Soliloquy, on an empty Purse."
o5156-w0220,"William Shenstone","The Progress of ADVICE. A common Case."
o4784-w0410,"Anne Finch (née Kingsmill), countess of Winchilsea","The Critick and the Writer of FABLE"
clc03-w0260,"Lady Mary Chudleigh","On the Death of my dear Daughter Eliza Maria Chudleigh: A Dialogue between Lucinda and Marissa."
pcc86-w0280,"‘Christian Carstairs’","FALSEHOOD — TRUTH"
o5156-w0670,Anonymous,"ISAIAH XXXIV."
o4784-w0040,"Anne Finch (née Kingsmill), countess of Winchilsea","THE Mussulman's Dream OF THE VIZIER and DERVIS."
o5454-w0120,"Isaac Watts","SONG XII. The Advantages of early Religion."
o5164-w0020,"James Macpherson","COMÁLA: A DRAMATIC POEM."
tgaen-whyig,"Thomas Gray","[Hymn to Ignorance. A Fragment]"
o5154-w0210,"Stephen Duck",CONTENTMENT.
o5154-w0640,Anonymous,"To the Earl of CHESTERFIELD."
psw11-w0060,"Jonathan Swift","BAUCIS AND PHILEMON.  Imitated, From the Eighth Book of OVID."
o3683-w0010,"Alexander Pope","THE IMPERTINENT, OR A Visit to the COURT. A SATYR."
pmp18-w1020,"Matthew Prior","For my own Tomb-stone."
o5153-w0020,"George Lyttelton, 1st Baron Lyttelton","SOLILOQUY Of a BEAUTY in the Country.  Written at Eton School."
bjb18-w0140,"Joanna Baillie",THUNDER.
bhw18-w0260,"Helen Maria Williams","SONNET TO LOVE."
bjb18-w0510,"Joanna Baillie","A SONG, (WRITTEN FOR MR. STRUTHER'S COLLECTION OF SONGS.)"
n22cs-w0580,"Charlotte Smith (née Turner)","SONNET [58] LVIII. The Glow Worm."
