exact_match_pct,json_path,levenshtein_dist_mean,levenshtein_dist_median,levenshtein_norm_mean,levenshtein_similarity_pct,model_id,model_slug,model_type_guess,n_exact,n_scored,prompt_style,prompt_type,st_combined_all_four_pct,st_combined_caesura_field_pct,st_combined_end_field_pct,st_combined_mean_field_pct,st_combined_meter_field_pct,st_combined_meter_type_field_pct,st_combined_n_scored,st_combined_pred_parse_pct,st_combined_rhyme_field_pct,st_rhyme_n_scored,st_rhyme_relaxed_match_pct,task
0.0,results/hub/google_flan-t5-large/zero_shot_combined.json,29.828,28.0,0.4249,57.505,google/flan-t5-large,hub/google_flan-t5-large,seq2seq,0,500,default,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,2.6,0.0,,,combined
0.0,results/hub/google_flan-t5-large/zero_shot_meter_only.json,8.55,9.0,0.8944,10.556,google/flan-t5-large,hub/google_flan-t5-large,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,meter_only
0.0,results/hub/google_flan-t5-large/zero_shot_rhyme_only.json,7.226,6.0,0.9456,5.444,google/flan-t5-large,hub/google_flan-t5-large,seq2seq,0,500,default,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,results/round1/combined/zero_shot_combined_line_only.json,11.722,12.0,0.1582,84.175,/home/span9810_ato22/Senior-Thesis/sft_full/combined_lora/flan-t5-large_lora_20260411_175033/final_model_merged,round1/combined,seq2seq,0,500,line_only,zero_shot,0.0,39.2,81.0,37.76,50.2,16.0,500,100.0,2.4,,,combined
0.0,results/round1/combined/zero_shot_meter_only_line_only.json,18.578,18.0,0.6635,33.65,/home/span9810_ato22/Senior-Thesis/sft_full/combined_lora/flan-t5-large_lora_20260411_175033/final_model_merged,round1/combined,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,,,meter_only
0.0,results/round1/combined/zero_shot_rhyme_only_line_only.json,69.212,69.0,0.9429,5.71,/home/span9810_ato22/Senior-Thesis/sft_full/combined_lora/flan-t5-large_lora_20260411_175033/final_model_merged,round1/combined,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,results/round1/meter_only/zero_shot_combined_line_only.json,60.648,59.0,0.8681,13.193,/home/span9810_ato22/Senior-Thesis/sft_full/meter_only_lora/flan-t5-large_lora_20260411_174009/final_model_merged,round1/meter_only,seq2seq,0,500,line_only,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
82.6,results/round1/meter_only/zero_shot_meter_only_line_only.json,0.276,0.0,0.0276,97.24,/home/span9810_ato22/Senior-Thesis/sft_full/meter_only_lora/flan-t5-large_lora_20260411_174009/final_model_merged,round1/meter_only,seq2seq,413,500,line_only,zero_shot,,,,,,,,,,,,meter_only
0.0,results/round1/meter_only/zero_shot_rhyme_only_line_only.json,9.848,10.0,1.0,0.0,/home/span9810_ato22/Senior-Thesis/sft_full/meter_only_lora/flan-t5-large_lora_20260411_174009/final_model_merged,round1/meter_only,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,results/round1/rhyme_only/zero_shot_combined_line_only.json,67.876,66.0,0.972,2.798,/home/span9810_ato22/Senior-Thesis/sft_full/rhyme_only_lora/flan-t5-large_lora_20260411_174908/final_model_merged,round1/rhyme_only,seq2seq,0,500,line_only,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
